FUCK WIFI;spark/8
merp;aigis/1|aniki/20|nanachi/54|sonic/1|pingu/3|moai/17|waluigibike/1|yotsuba/7|morshu/79
lust_provoker;sonic/8
Bee's;shadow/1|chuchu/2|ecco/1|goku/2|carb/1|crashbandicoot/1|annoyingdog/25|aosthrobotnik/1|prinny/12|fang/79|kingdeedeedee/9|nights/784|copyx/1|infinite/27|jevil/66|metson/84|megaman/7|spamtonneo/59|egg.scarlet/101
v   i   s;sonic/15|shumagorath/2
SNEED;shadow/24|bass.exe/16|srb2modern/3|eggr/25|moai/8|peppino/50|lowtiergod/4|mactonight/40|sonic/4|raymanorigins/5|metal_knuckles/31|zero/15|megamancero/8|mecha/8|spark/1|mk64mario/18|satam_robotnik/1|mk64dk/5
Rotes!;fang/1
Coombro;aosthrobotnik/1|nanachi/10|sega_bass_fishin/1|madonna/311|megamanx/1|flonne/13|sonic/2|goku/1|megamancero/1|jevil/11|agent_rouge/1496|doom/1|carb/1|princevegeta/1
Peekend;hsien-ko/37
Troon the Transhog;amy/8
Yandhi;metal_knuckles/2|darkmetaknight/16|metalsonic/5|kermitthefrog/1|slimeterraria/2|buruma/4|mona/3|etna/8
pyo;ditto/7|mothmansmt/1|nanachi/276|omega/193|courage/1|rena/46|garfield/1|mona/6|mk64luigi/16|mithrix/1|superluigi/15|megamanx/2|hotel/15|mk64mario/17|drlivesey/1|megamancero/1|mk64dk/6|arle/1|cream/65|supermario/2|goku/1
not wtf;hsien-ko/85|sketchfox/99|knuckles/5|sketchog/83|parappa/2|eggr/16|vibri/1|sakura/13|fang/11|etna/10|infinite/1|eggman/2|agent_rouge/36|the_king/12|darkmetaknight/5|bubblun/16|shadow/68|bigthecat/223|tails_doll/6|sirpercival/63|signpost/3|sega_bass_fishin/3|okuu/57|blaze/45|bomberman/9|whisper/1|doom/6|omega/1|kino/3|miku/4|nitroman/3|prinny/22|caterkiller/7|metalsonic/34|drybonerc/6|klonoa_lunatea/78|tails/11|gum/8|hotel/15|sonic/42|plague/4|chocobo/10|arle/3|reankart/8|chainchomp/4|vector/13|raboot/171
Mono;blaze/271
cancermania;aosthrobotnik/1|aniki/4|spark/1|youmukonpaku/1241|okuu/3|sonic/1|reimu/557
Bork;megaman/9|demi-fiend/2|bass.exe/2|flonne/2
eatfgase;cobramonk/18|peppino/5|propane/1|sonic/3|etna/5|miku/1|arle/1|yuzuk/1|prinny/98|reimu/60
copy;metalslug/1|yuzuk/3|prinny/1|vicvipert301/1|sonic/2|flonne/3
smegma;helper/3|doom/1|ctm/25|the_king/2|lww_wario/11|boomer/2
badbongbong;masterchief/5|bomberman/1|metalslug/1|lcorpnugget/6|gruntilda/3|senatorarmstrong/3|dantekrt/1|etna/2
Ass Eater v1.3 v0.15;thwomp/17
Uhhhh your mom;infinite/5|atomic_bomberman/2
soniccccccccccccccccc;arrowhead/1|yamiyugien/1|sonic/4
Orthodox Rabbibotnik;aosthrobotnik/28
Player 2;klonoa_lunatea/1|gruntilda/1|sonic/6
Marvin626;mk64toad/3|blitztank/13
turbo nigger;lww_wario/11
Vector's lil bro;wonderboy/14
Darksfadil;kc_tonysoprano/50
XxXBadDragon2015XxX;vector/6|gum/11|madonna/24|tails/43|frog_in_a_car/2
peekend;hsien-ko/54
OREWA;princevegeta/16
Soviet;sonic/3|yamiyugien/1|kiryu/2|drybonerc/1
Coggert;tf2-scout/1|reankart/312|carb/1|courage/5|moai/13|rena/235|aosthrobotnik/1|yamiyugien/7|sirdan/1|mk64toad/2|pepsiman/19|sonic/2|drybonerc/15|buruma/1|acrid/37|vicvipert301/1|jevil/9|sksonic/15|lowtiergod/15|kaneda/2|cacodemon/1
Racc;agent_rouge/8|frog_in_a_car/3|vector/1|smug_bird/1
fucklecuckle;masterchief/1|copyx/1|megamancero/1|eggman/655|tails/207|superluigi/2|megamanx/1|flonne/9
retard';falco/1
CHRISTMAS MACHINE;commando/19|padoru/28|jevil/8
GOAT;shadow/50|metalsonic/85|pepsiman/1|blinx/107|dodongos/6|propane/29|yamiyugien/65|crono/9|yiik/3|chainchomp/4|megaman/19
Sexo;slimeterraria/19|mothmansmt/1|goku/10|kingofthecosmos/8|super/1|nia/78|sirdan/8|youmukonpaku/1|sonic/1|hotel/4|baba/13|megamancero/1|lcorpnugget/14|okuu/86|yiik/7|padoru/187|jevil/6
Osphronemus;metall/35|nitroman/142|sirdan/236|princevegeta/1|kc_tonysoprano/1|sonic/3|megamanx/2|copyx/31|wallacewng/17|megamancero/1|doom/1|sega_bass_fishin/1|drlivesey/32|porkyminch/10|victor/314
AXE WOUND;spark/49
Nord F.C;aosthrobotnik/32|blitztank/10
Adol;superhangon/15
MerryBugger;johnward/16|mk64mario/1|supermario/1|motobug/10
Wigger;thwomp/5
touranon;sonic/1|tf2-soldier/6
FrOnii;aigis/3
FixThyClientGoy;goku/1
TRANNY DISINFECTED;spark/2
last anon;hsien-ko/1
IKA;sirpercival/76|bigthecat/10|vicvipert301/19|blaze/1|okuu/35|jevil/3|arle/24|miku/6|duke_nukem/1|doom/1
Chuck;ditto/1
asshole;sonic/1
nigger;arrowhead/2|sksonic/2
NO WOMB;spark/48
FUCK CHAOS!;aosthrobotnik/23|heady/9|metalslug/28|eggman/1|grounder/2|918volt/5
Blessed is the Christ;princevegeta/1|klonoa_lunatea/39|reankart/272|metalsonic/1|spark/1|megamancero/64|sega_bass_fishin/1|sparkster/46|crono/14|satam_robotnik/1|sonic/4
JerkiDBT;metalsonic/14|boomer/2|knuckles/24|vicvipert301/1|doom/6|ctm/1|ranger/2|mk64mario/4|tails/1
Numbuh whan;blaze/5|undergroundsonia/2|amy/6
KRAPKREW GROOMER;spark/78|sonic/1
SNEED(OP);princevegeta/1|mmvolnutt/13|bomberman/2|space/5|grotesquesteve/3|victor/9|mactonight/216|lowtiergod/63|pepsiman/11|dave/5|sonic/2|zero/88|metal_knuckles/34|mecha/74|megamancero/8|mk64dk/117|protoman/5|eggr/157|raymanorigins/47|spark/20
Sam;aosthrobotnik/1|mk64mario/3|hotel/2
Muffin;infinite/1
sonic0239485643258723;kingdeedeedee/1|sdhornet/1
Azure;ditto/4|mothmansmt/22|mk64wario/19|dixiekong/14|reankart/1|demi-fiend/14|issac/10|aniki/4|blitztank/2|curlybrace/11|bomberman/6|banjo/7|megamancero/4|lww_wario/1|metalslug/4|madotsuki/185|piccolo/2|morshu/20
Bad Dragon Corp.;wonderboy/18|space/18|annoyingdog/1|fang/1|charmy/52|shadow/16|ronaldmcdonald/106|bandana_dee/1|bigthecat/2|sega_bass_fishin/11|srb2modern/12|vector/24|gooper/6|blinx/7|misty_p/17|madonna/83|irongiant/1|sonic/7|heady/6|sparkster/16|espio/4|tails/23|bayonetta/1|gum/80|drybonerc/3|baba/5|banjo/5|gruntilda/12|metal_knuckles/5|glover/7|marge/27|annoying-dog/2|frog_in_a_car/109
